crn,dept,course_id,instructor,title,modality,credits,capacity,days,start_time,end_time,location
91092,ENGL,ENGL 5004,T Webster,Theory & Pract Univ Writ Inst,F2F,3,20,T R,3:30PM,4:45PM,SHANK 370
85153,ENGL,ENGL 5014,K Cleland,Literary Research,F2F,3,15,T R,2:00PM,3:15PM,SHANK 340
85154,ENGL,ENGL 5034,M Weaver,Practicum,F2F,3,20,T R,12:30PM,1:45PM,SHANK 352
85155,ENGL,ENGL 5034,T Webster,Practicum,F2F,3,20,(ARR),(ARR),(ARR),00X
91077,ENGL,ENGL 5084,K Queen,Creative Writing Practicum,F2F,3,15,M W F,1:25PM,2:15PM,SHANK 352
91568,ENGL,ENGL 5214,K Hodges,Race in Pre-Modern Literature,F2F,3,15,T R,12:30PM,1:45PM,SHANK 370
91051,ENGL,ENGL 5244,A Reed,Studies in American Authors,F2F,3,15,T R,9:30AM,10:45AM,SHANK 340
85159,ENGL,ENGL 5744,SE Terazawa,Form and Theory of Poetry,F2F,3,15,M W,2:30PM,3:45PM,SHANK 340
85160,ENGL,ENGL 5774,SS Patel,Editing a Literary Journal,F2F,3,10,R,5:00PM,7:50PM,SHANK 340
85161,ENGL,ENGL 5894,K Cleland,Final Examination,F2F,3,9999,(ARR),(ARR),(ARR),00X
91046,ENGL,ENGL 6314,B McComiskey,Ancient Rhet. in Written Comm,F2F,3,15,T R,11:00AM,12:15PM,SHANK 340
91005,ENGL,ENGL 6374,CU Itchuaqiyaq,Field Methods of Research,Hybrid,3,15,T,5:00PM,7:50PM,SHANK 352
91049,ENGL,ENGL 6524,D Mueller,Theories-Written Comm,F2F,3,15,M,4:00PM,6:50PM,SHANK 380
85168,ENGL,ENGL 6704,Staff,Fiction Workshop,F2F,3,15,M,5:30PM,8:20PM,SHANK 352
85169,ENGL,ENGL 6714,JA Joseph,Poetry Workshop,F2F,3,15,T,5:00PM,7:50PM,SHANK 340
85172,ENGR,ENGR 1014,BA Watford,Engineering Research Seminar,F2F,1,620,F,2:30PM,3:20PM,SQUIR COLNL
85173,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,T,8:00AM,9:15AM,PRT L2
85174,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,T,12:30PM,1:45PM,PRT L2
85175,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,M,8:00AM,9:15AM,HAN 209
85176,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,M,9:30AM,10:45AM,PRT L2
85177,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,T,2:00PM,3:15PM,PRT L2
85178,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,M,12:30PM,1:45PM,PRT L2
85179,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,R,12:30PM,1:45PM,HAN 209
85180,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,M,2:00PM,3:15PM,PRT L2
85181,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,M,3:30PM,4:45PM,PRT L2
85182,ENGR,ENGR 1034,D Katey,First Year Hypatia Seminar,F2F,2,0,T,3:30PM,4:45PM,PRT L2
85183,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,T,11:00AM,12:15PM,PRT L2
