crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
80118,ACIS-1504,Intro to Bus Analytics & BI,ONLINE COURSE - VL,Online: Asynchronous,3,3,JP Sharp,(ARR),----- (ARR) -----,ONLINE,00X,
80119,ACIS-1504,Intro to Bus Analytics & BI,ONLINE COURSE - VL,Online: Asynchronous,3,3,JP Sharp,(ARR),----- (ARR) -----,ONLINE,00X,
80120,ACIS-1504,Intro to Bus Analytics & BI,ONLINE COURSE - VL,Online: Asynchronous,3,3,JP Sharp,(ARR),----- (ARR) -----,ONLINE,00X,
80121,ACIS-2115,Principles of Accounting,L,Face-to-Face Instruction,3,59,RA Brassine,M W F,10:10AM,11:00AM,DER 3083,CTE
80122,ACIS-2115,Principles of Accounting,L,Face-to-Face Instruction,3,59,RA Brassine,M W F,1:25PM,2:15PM,DER 3083,CTE
80123,ACIS-2115,Principles of Accounting,L,Face-to-Face Instruction,3,59,RA Brassine,M W F,11:15AM,12:05PM,DER 3081,CTE
90634,ACIS-2115,Principles of Accounting,L,Face-to-Face Instruction,3,59,RA Brassine,M W F,9:05AM,9:55AM,DER 3081,CTE
80124,ACIS-2115,Principles of Accounting,ONLINE COURSE - VL,Online: Asynchronous,3,223,G Kogan,(ARR),----- (ARR) -----,ONLINE,CTE,
80125,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,0,EA Martin,M W,4:00PM,5:15PM,DER 3083,CTE
80126,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,JL Shortt,M W,4:00PM,5:15PM,DER 3081,CTE
80127,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,M W F,12:20PM,1:10PM,DDS 180,CTE
80128,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,M W F,11:15AM,12:05PM,DDS 180,CTE
80129,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,M W F,10:10AM,11:00AM,DDS 170,CTE
80130,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,M W F,9:05AM,9:55AM,SURGE 108B,CTE
80131,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,SL Ferris,M W F,12:20PM,1:10PM,DDS 170,CTE
80132,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,M W F,11:15AM,12:05PM,DDS 170,CTE
80133,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,SL Ferris,M W F,1:25PM,2:15PM,DDS 170,CTE
80135,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,M W F,9:05AM,9:55AM,DDS 180,CTE
